"##features#size#min";"##characteristics#gpu_copy#center";"##characteristics#gpu_copy#halfrange"
168;0.0106645;0.0001535
169;0.0107675;0.0001265
170;0.010919;0.000206
171;0.0109445;0.0001405
172;0.010945;0.000496
173;0.010964;0.000454
174;0.0109655;0.0003115
175;0.01098;0.000169
176;0.0109975;0.0001835
177;0.011003;0.00024
178;0.011016;0.000169
179;0.011045;0.000199
180;0.0110745;0.0017325
181;0.011104;0.000415
182;0.011149;0.000454
183;0.011179;0.000209
184;0.0112005;0.0008815
185;0.0112355;0.0005615
186;0.011238;0.000195
187;0.011348;5.6e-05
188;0.011364;0.000391
189;0.0113905;5.45e-05
190;0.0114215;0.0002055
191;0.011451;0.000119
192;0.0116485;0.0001655
193;0.011682;0.000404
194;0.0117035;0.0001415
195;0.0117345;0.0001345
196;0.011741;0.00073
197;0.011828;9.1e-05
198;0.011869;0.000191
199;0.011915;0.000734
200;0.011941;0.000457
201;0.0119745;0.0002675
202;0.0120175;0.0001145
203;0.012139;0.000326
204;0.0122045;0.0002585
205;0.012249;0.000287
206;0.012268;0.001139
207;0.0123075;0.0024785
208;0.0123125;0.0002455
209;0.0125165;0.0002235
210;0.0125695;0.0001625
211;0.0126915;8.35e-05
212;0.012722;0.000399
213;0.0127225;0.0002205
214;0.0127345;0.0006055
215;0.012829;0.000197
216;0.012854;0.000431
217;0.012923;0.000398
218;0.013025;0.000446
219;0.013028;0.00041
220;0.0130945;0.0016025
221;0.013106;0.000374
222;0.0131255;0.0003995
223;0.0131305;0.0003295
224;0.0131535;0.0004005
225;0.0131705;0.0002965
226;0.013237;0.001386
227;0.013355;0.000118
228;0.0134855;0.0008395
229;0.0135255;0.0003715
230;0.0135345;0.0002405
231;0.0135625;0.0003905
232;0.0135905;0.0003165
233;0.0136235;0.0002345
234;0.0136865;0.0009075
235;0.013688;0.000578
236;0.013763;0.000245
237;0.0137645;0.0001505
238;0.013833;0.000326
239;0.013837;0.000507
240;0.0138925;0.0006905
241;0.013928;0.000381
242;0.013952;0.001885
243;0.0139715;0.0010955
244;0.013991;0.000443
245;0.0140475;5.75e-05
246;0.0140645;0.0004495
247;0.014157;0.000789
248;0.014165;0.000595
249;0.0141695;0.0004215
250;0.0142215;0.0003895
251;0.0142335;0.0012395
252;0.0143535;0.0004515
253;0.014382;0.0003
254;0.0143875;0.0001725
255;0.0143985;0.0003125
256;0.014434;0.000381
257;0.0145195;0.0006585
258;0.0145985;0.0003075
259;0.0146095;0.0003255
260;0.0146495;0.0006145
261;0.014707;0.00022
262;0.014844;0.000144
263;0.0148625;0.0007405
264;0.0148935;0.0010835
265;0.0149495;0.0006405
266;0.0149505;0.0003485
267;0.015024;0.000395
268;0.015156;0.000827
269;0.015197;0.000137
270;0.0152605;0.0005705
271;0.015263;0.000271
272;0.015281;0.001238
273;0.0153;0.000253
274;0.0153645;0.0002815
275;0.015456;0.000444
276;0.015463;0.000437
277;0.0155395;6.95e-05
278;0.0155555;0.0005945
279;0.0155635;0.0004145
280;0.0157095;0.0001765
281;0.015741;0.00065
282;0.0158015;0.0012625
283;0.0158065;0.0002045
284;0.015832;0.000925
285;0.0158345;0.0002365
286;0.015931;0.000285
287;0.01606;0.000724
288;0.016089;0.000809
289;0.0161035;8.05e-05
290;0.0162325;0.0009905
291;0.0162425;0.0001495
292;0.01632;0.000255
293;0.0164065;9.95e-05
294;0.0164545;0.0005845
295;0.0164765;0.0004255
296;0.016585;0.000434
297;0.016623;0.000522
298;0.0166585;0.0015875
299;0.016671;6e-05
300;0.0167225;0.0004365
301;0.0167295;0.0002895
302;0.0168085;0.0005045
303;0.0168915;0.0002075
304;0.016924;0.000214
305;0.0169455;7.45e-05
306;0.016956;0.000465
307;0.0169715;0.0004625
308;0.016973;0.000907
309;0.017108;0.000209
310;0.0171975;0.0001515
311;0.017199;0.000124
312;0.017217;0.000389
313;0.0172355;0.0001805
314;0.0172455;0.0017165
315;0.0172485;0.0001985
316;0.017295;0.000248
317;0.0173465;0.0001805
318;0.017388;0.000541
319;0.0174615;0.0006105
320;0.017475;0.000285
321;0.017524;0.00023
322;0.017553;0.000372
323;0.0175675;0.0004445
324;0.017766;0.00026
325;0.017779;0.000749
326;0.017858;0.00041
327;0.017925;0.000557
328;0.0180145;0.0008925
329;0.018021;0.0001
330;0.018055;0.000809
331;0.018153;0.00044
332;0.018167;0.000359
333;0.0182915;0.0005165
334;0.0182935;6.15e-05
335;0.0183125;0.0004995
336;0.0183325;0.0002455
337;0.0183385;0.0001145
338;0.018347;0.002275
339;0.018355;0.001187
340;0.0183565;0.0004405
341;0.018399;0.000316
342;0.018449;0.00014
343;0.018521;0.000278
344;0.018551;0.001513
345;0.018568;0.000776
346;0.018595;0.000796
347;0.0186625;0.0001035
348;0.018678;0.000448
349;0.0187825;0.0001535
350;0.0187955;0.0006535
351;0.0190535;0.0003285
352;0.0191845;0.0002005
353;0.0192065;0.0003615
354;0.0192855;0.0004585
355;0.0193965;0.0007825
356;0.019423;0.00019
357;0.0194435;0.0001365
358;0.019485;0.000187
359;0.0197665;0.0001765
360;0.019818;0.00093
361;0.0198805;0.0019865
362;0.0198905;0.0004765
363;0.0199755;0.0009025
364;0.0201675;0.0001655
365;0.020187;0.000218
366;0.0202295;0.0007195
367;0.0202705;0.0007575
368;0.020305;0.000235
369;0.020742;0.004129
370;0.02087;0.002613
371;0.0209325;0.0005095
372;0.021043;0.000451
373;0.021065;0.001982
374;0.021101;0.000285
375;0.0214115;0.0006055
376;0.02177;0.000814
377;0.0218715;0.0005705
378;0.022123;0.000351
379;0.022151;0.000527
380;0.0221815;0.0002565
381;0.0222635;0.0002485
382;0.022352;0.000246
383;0.022371;0.000125
384;0.022495;0.000411
385;0.022515;0.000221
386;0.0225705;0.0006455
387;0.0230825;0.0005775
388;0.023418;0.00025
389;0.0238395;0.0002075
390;0.0241745;0.0002935
391;0.024281;0.000228
392;0.024711;0.00047
393;0.0247175;0.0002975
394;0.0248535;0.0004025
395;0.0257825;0.0002905
396;0.0258355;0.0001755
397;0.025951;0.000361
398;0.0261035;0.0001005
399;0.02648;0.000149
400;0.0264995;0.0003715
401;0.026755;0.000118
402;0.0277725;0.0006665
403;0.028259;0.000548
404;0.0285905;0.0001285
405;0.0290555;0.0001565
406;0.029257;0.000316
407;0.0292575;0.0001915
408;0.02969;0.000263
409;0.0301015;0.0001875
410;0.0305395;0.0001585
411;0.030543;0.000449
412;0.03055;0.000186
413;0.031146;0.000301
414;0.031299;0.000594
415;0.0313085;0.0004095
416;0.0317505;0.0001575
417;0.0320325;0.0001035
418;0.032133;0.00034
419;0.0322335;0.0003275
420;0.0323355;0.0001685
421;0.0325845;0.0003745
422;0.0325895;0.0006985
423;0.032982;0.000354
424;0.0333195;7.75e-05
425;0.033415;0.000124
426;0.0334345;0.0001945
427;0.034408;0.000237
428;0.034631;0.001622
429;0.034701;0.00031
430;0.03486;0.000319
431;0.0349005;0.0001025
432;0.035043;0.000345
433;0.035422;0.000555
434;0.036027;0.00037
435;0.0362225;0.0003355
436;0.0368895;0.0002705
437;0.0370225;0.0003335
438;0.0377715;0.0003295
439;0.039237;0.000183
440;0.0396315;0.0001725
441;0.040205;0.00018
442;0.0405905;0.0002975
443;0.040819;0.000162
444;0.0412665;0.0001445
445;0.0417445;0.0004305
446;0.042112;0.000692
447;0.0423725;0.0001275
448;0.04398;0.000287
449;0.0441355;0.0003495
450;0.0443;0.000279
451;0.044563;0.000175
452;0.045862;0.00175
453;0.046123;0.000234
454;0.047308;0.000686
455;0.0474545;0.0002185
456;0.048369;0.000237
457;0.0483845;0.0001455
458;0.0492435;0.0005085
459;0.049284;0.000271
460;0.0548045;0.0005355

