"##features#size#min";"##characteristics#gpu_copy#center";"##characteristics#gpu_copy#halfrange"
1;0.0018985;0.0002565
2;0.002002;9.1e-05
3;0.0020715;0.0001045
4;0.0022365;0.0001385
5;0.0023915;6.45e-05
6;0.00256;0.000211
7;0.002585;0.000249
8;0.0025885;0.0001385
9;0.0026305;8.75e-05
10;0.002666;0.000169
11;0.0027845;7.65e-05
12;0.0027855;0.0002125
13;0.0028225;0.0002795
14;0.00283;6.9e-05
15;0.002939;4.7e-05
16;0.0029395;0.0004345
17;0.0029665;9.45e-05
18;0.002995;0.000255
19;0.00305;6.7e-05
20;0.0030705;0.0002405
21;0.00309;0.000211
22;0.0030925;0.0001435
23;0.0031075;2.75e-05
24;0.003277;0.000136
25;0.0034875;0.0001565
26;0.0034915;0.0001725
27;0.0035025;0.0001725
28;0.0035115;0.0001105
29;0.003532;0.000221
30;0.0035355;0.0001235
31;0.003612;0.00013
32;0.0036825;0.0001795
33;0.003771;7.8e-05
34;0.0038965;0.0002225
35;0.0039135;6.85e-05
36;0.004016;0.000176
37;0.0040285;0.0002295
38;0.004062;0.000133
39;0.00408;0.000246
40;0.004102;0.000186
41;0.0041405;8.75e-05
42;0.0042415;0.0005635
43;0.0042465;0.0003005
44;0.004286;0.000401
45;0.0043035;0.0001465
46;0.0043315;0.0002885
47;0.0043495;9.45e-05
48;0.0044115;8.25e-05
49;0.0045405;0.0001515
50;0.004569;7.5e-05
51;0.0045725;0.0001095
52;0.004574;0.000477
53;0.004591;0.000267
54;0.0046155;0.0007725
55;0.0046345;0.0006145
56;0.004645;0.00043
57;0.004714;7.2e-05
58;0.004755;0.000147
59;0.004784;0.000266
60;0.004798;0.000342
61;0.0048525;0.0004245
62;0.004911;0.000398
63;0.004933;9.8e-05
64;0.004991;0.000439
65;0.005133;0.000245
66;0.005171;0.000308
67;0.0052345;0.0002685
68;0.005288;0.000146
69;0.005347;0.000149
70;0.0053545;0.0004085
71;0.005466;5.4e-05
72;0.0054815;3.05e-05
73;0.0055065;9.75e-05
74;0.00556;0.000364
75;0.0056305;8.65e-05
76;0.0056585;0.0002105
77;0.0058915;0.0001415
78;0.005907;8.5e-05
79;0.006036;0.000308
80;0.0060415;8.95e-05
81;0.006064;0.00021
82;0.006094;7e-05
83;0.006103;9.6e-05
84;0.006175;0.00011
85;0.00624;0.000185
86;0.0062815;0.0010385
87;0.0063235;0.0003275
88;0.006384;0.000165
89;0.0064215;0.0006605
90;0.0064665;0.0002665
91;0.0065075;0.0002085
92;0.006599;0.000184
93;0.0066;0.000211
94;0.006603;0.000225
95;0.0067355;7.55e-05
96;0.006776;0.000128
97;0.006815;0.000189
98;0.006877;0.000401
99;0.0068875;4.75e-05
100;0.0069825;0.0034205
101;0.0070545;0.0002875
102;0.0071525;0.0002295
103;0.007292;0.000462
104;0.0073885;0.0003625
105;0.0074225;0.0004985
106;0.007484;0.000361
107;0.007648;0.000395
108;0.007849;0.000256
109;0.0078865;0.0001525
110;0.0079985;0.0002685
111;0.0080215;0.0003275
112;0.008168;0.000261
113;0.008229;0.000873
114;0.008233;8.9e-05
115;0.0082575;0.0010115
116;0.008487;0.00032
117;0.008513;0.000175
118;0.008513;0.000336
119;0.0085155;0.0004245
120;0.0085265;0.0006485
121;0.008563;0.000326
122;0.008571;0.000201
123;0.008623;0.000232
124;0.008624;0.000269
125;0.008855;0.000229
126;0.0089265;0.0001505
127;0.008948;8.7e-05
128;0.008951;0.000241
129;0.0090265;0.0002435
130;0.009037;0.000452
131;0.0091625;3.15e-05
132;0.009179;0.00012
133;0.0092825;0.0006985
134;0.009367;0.001005
135;0.009388;2e-05
136;0.009479;0.000934
137;0.009534;0.000141
138;0.009537;0.000207
139;0.0095465;0.0001835
140;0.0095585;0.0001565
141;0.009613;0.000459
142;0.009631;0.000456
143;0.009719;0.000345
144;0.00972;0.00044
145;0.009742;0.000119
146;0.0097735;0.0001355
147;0.009784;0.000155
148;0.0097945;0.0004055
149;0.009849;0.000194
150;0.010013;0.000118
151;0.010148;0.001351
152;0.010154;0.000351
153;0.010236;0.000274
154;0.010252;0.000262
155;0.0103345;0.0004195
156;0.010339;0.000114
157;0.010354;0.000262
158;0.010412;0.000229
159;0.010437;0.000276
160;0.0104595;0.0001685
161;0.0105025;0.0001725
162;0.010546;0.000149
163;0.0105465;0.0004325
164;0.010556;0.000271
165;0.010589;0.00131
166;0.010591;0.000192
167;0.010636;0.000117
