"##features#size#min";"##characteristics#cpu_div_by_gpu_copy#min"
1;0.0496592924484
2;0.0512406122255
3;0.0520843455447
4;0.0521358576729
5;0.0557394811292
6;0.0562076889634
7;0.0567358467395
8;0.0568662649058
9;0.0579529243937
10;0.0599777860052
11;0.066498415307
12;0.067149988115
13;0.0686449767608
14;0.0698724760893
15;0.0704503008923
16;0.0738857037174
17;0.0739545997611
18;0.0740039387972
19;0.0748703680283
20;0.0749759692406
21;0.0752051048314
22;0.0754628544645
23;0.0758172965453
24;0.0762760031829
25;0.0763752455796
26;0.0778195945126
27;0.078876535986
28;0.0794996240345
29;0.079546781918
30;0.0809463680468
31;0.0811490125673
32;0.0820157094767
33;0.0822316827246
34;0.082372854034
35;0.0830657246842
36;0.0832656676755
37;0.0835184010152
38;0.0835224957802
39;0.0838119549032
40;0.0860643637437
41;0.0861813877793
42;0.0866379310345
43;0.0872382100347
44;0.089432128758
45;0.0913573483085
46;0.092828685259
47;0.0929750685115
48;0.0930399425975
49;0.0939219762749
50;0.0941962715441
51;0.0952266730631
52;0.0964760254188
53;0.0982233135924
54;0.104085854668
55;0.105846298916
56;0.108778096383
57;0.108788201308
58;0.110287216069
59;0.113689848251
60;0.122303962548
61;0.199025974026
62;0.224730809309
63;0.224817518248
64;0.225095009657
65;0.233393177738
66;0.236646838781
67;0.240980573543
68;0.241489787745
69;0.24651810585
70;0.246913580247
71;0.247736327418
72;0.254955305091
73;0.257959183673
74;0.260651629073
75;0.270597525665
76;0.270605122006
77;0.27258027258
78;0.279197797877
79;0.279759346798
80;0.28290037111
81;0.283818493151
82;0.287689097548
83;0.288894385357
84;0.291059042001
85;0.291297824456
86;0.295639742673
87;0.304647599591
88;0.307504078303
89;0.309342230696
90;0.309342274481
91;0.315272318922
92;0.317639539838
93;0.332810047096
94;0.334519572954
95;0.334581539038
96;0.335783593061
97;0.339567107408
98;0.343762120233
99;0.34496550345
100;0.347996384453
101;0.356893542757
102;0.361349888571
103;0.362817250155
104;0.368064085447
105;0.370635919347
106;0.371728696912
107;0.373880039821
108;0.378661905028
109;0.381851400731
110;0.385865724382
111;0.391150626527
112;0.393464742462
113;0.406418877109
114;0.406856824305
115;0.411886518948
116;0.421933354564
117;0.428539190612
118;0.429166422244
119;0.432953204876
120;0.44278446777
121;0.444917781375
122;0.447080291971
123;0.454379713268
124;0.454580362041
125;0.475536209328
126;0.477019441959
127;0.479550214971
128;0.483579731407
129;0.504710567211
130;0.506626806178
131;0.50908713262
132;0.516554232599
133;0.518021131628
134;0.518712273642
135;0.519098285364
136;0.520069027227
137;0.521228147495
138;0.52142192626
139;0.522755514135
140;0.531051344743
141;0.532672709582
142;0.538546989558
143;0.552248258391
144;0.553162378988
145;0.55452087714
146;0.556362083689
147;0.556595334755
148;0.559713681783
149;0.56878605052
150;0.573002182272
151;0.573303935731
152;0.573831576706
153;0.574168046579
154;0.575880524862
155;0.576786229445
156;0.578246069055
157;0.578530715643
158;0.581771103055
159;0.586786184417
160;0.593381093989
161;0.596266532731
162;0.597743949184
163;0.598837342366
164;0.599361459521
165;0.608482315259
166;0.610667279729
167;0.62181686834
168;0.62198722422
169;0.622222222222
170;0.622760774516
171;0.631969894483
172;0.634555885975
173;0.635358860525
174;0.63855965345
175;0.639938063374
176;0.644195108211
177;0.649060505259
178;0.655986720536
179;0.676637229766
180;0.680380659425
181;0.697287994778
182;0.701635519817
183;0.719834533147
184;0.726267484934
185;0.768612317093
186;0.783604032484
187;0.794641456143
188;0.809312638581
189;0.810379655047
190;0.823337032062
191;0.827132054685
192;0.827189853349
193;0.830714739806
194;0.831452962121
195;0.840388836626
196;0.863717848792
197;0.879062288422
198;0.898448012918
199;0.905066913789
200;0.910864172359
201;0.91104886399
202;0.913275862069
203;0.922413482011
204;0.932079240886
205;0.932170820547
206;0.939304347826
207;0.941292240693
208;0.948051948052
209;0.9492303476
210;0.954705121094
211;0.95593913241
212;0.957170449058
213;0.964045358164
214;0.968163893431
215;0.970848505377
216;0.984598560102
217;0.985546420393
218;0.992110453649
219;0.999082737112
220;1.00292984945
221;1.00638031218
222;1.0120585702
223;1.02839116719
224;1.03393634385
225;1.03799435606
226;1.04590065829
227;1.06260257913
228;1.07217718015
229;1.0773264236
230;1.07940904894
231;1.0859030837
232;1.08860511234
233;1.09989196377
234;1.1128639178
235;1.12281900031
236;1.13520555
237;1.14083338273
238;1.15013169447
239;1.17084558188
240;1.1788112687
241;1.18703951775
242;1.19048588293
243;1.23202842829
244;1.23506226437
245;1.25126211157
246;1.25734228895
247;1.27235258724
248;1.27331528279
249;1.28134739871
250;1.305034715
251;1.31169547628
252;1.34786545925
253;1.37432432432
254;1.45279270477
255;1.45857005829
256;1.4656589169
257;1.47649497576
258;1.50710051013
259;1.51437517791
260;1.55448234229
261;1.56027780657
262;1.61823850351
263;1.62737080489
264;1.67146658319
265;1.68279066658
266;1.70180264733
267;1.7656011165
268;1.78244817906
269;2.04207689916
270;2.09024202616
271;2.11966233624
272;2.16641070645
273;2.23544706819
274;2.28395926505
275;2.32464180362
276;2.44794474394

