"##features#size#min";"##characteristics#cpu_div_by_gpu_copy#min"
1;0.0496592924484
2;0.0512406122255
3;0.0520843455447
4;0.0521358576729
5;0.0557394811292
6;0.0562076889634
7;0.0567358467395
8;0.0568662649058
9;0.0579529243937
10;0.0599777860052
11;0.066498415307
12;0.067149988115
13;0.0686449767608
14;0.0698724760893
15;0.0704503008923
16;0.0738857037174
17;0.0739545997611
18;0.0740039387972
19;0.0748703680283
20;0.0749759692406
21;0.0752051048314
22;0.0754628544645
23;0.0758172965453
24;0.0762760031829
25;0.0763752455796
26;0.0778195945126
27;0.078876535986
28;0.0794996240345
29;0.079546781918
30;0.0809463680468
31;0.0811490125673
32;0.0820157094767
33;0.0822316827246
34;0.082372854034
35;0.0830657246842
36;0.0832656676755
37;0.0835184010152
38;0.0835224957802
39;0.0838119549032
40;0.0860643637437
41;0.0861813877793
42;0.0866379310345
43;0.0872382100347
44;0.089432128758
45;0.0913573483085
46;0.092828685259
47;0.0929750685115
48;0.0930399425975
49;0.0939219762749
50;0.0941962715441
51;0.0952266730631
52;0.0964760254188
53;0.0982233135924
54;0.100670556475
55;0.103106746804
56;0.104085854668
57;0.104831274202
58;0.105846298916
59;0.108778096383
60;0.108788201308
61;0.109650299615
62;0.110287216069
63;0.113689848251
64;0.119390003479
65;0.122303962548
66;0.125851957521
67;0.126656035329
68;0.12980332829
69;0.129904589849
70;0.134193548387
71;0.136584949176
72;0.145245559039
73;0.148568931615
74;0.149243845899
75;0.149769122666
76;0.157693720162
77;0.158066394875
78;0.158614261302
79;0.15970539781
80;0.160101651842
81;0.166591726619
82;0.167377853638
83;0.168144526394
84;0.170873023667
85;0.171341816079
86;0.172974824456
87;0.17301446708
88;0.173294536049
89;0.177167394684
90;0.178546074116
91;0.179980231827
92;0.181350482315
93;0.18276938655
94;0.189432265318
95;0.190959496288
96;0.191606892572
97;0.193582887701
98;0.197110904007
99;0.199025974026
100;0.200282974375
101;0.200923454296
102;0.20122357502
103;0.203836930456
104;0.20449285228
105;0.204551382368
106;0.208177694771
107;0.208681391893
108;0.210488863588
109;0.211328305372
110;0.213173414618
111;0.214558844356
112;0.214874351409
113;0.21676511955
114;0.219651676631
115;0.220290607161
116;0.222670299728
117;0.224730809309
