"##features#size#min";"##characteristics#cpu#center";"##characteristics#cpu#halfrange"
240;0.1468505;0.0044405
241;0.1529945;0.0013265
242;0.1538545;0.0015385
243;0.160206;0.000433
244;0.1609;0.000616
245;0.1612185;0.0010285
246;0.164265;0.004347
247;0.1650405;0.0008105
248;0.166543;0.00413
249;0.166563;0.00258
250;0.1748115;0.0020275
251;0.1752345;0.0021535
252;0.176819;0.001226
253;0.1776665;0.0012775
254;0.1786405;0.0011275
255;0.1791145;0.0020845
256;0.1793145;0.0170425
257;0.180163;0.000784
258;0.1803585;0.0055965
259;0.1813275;0.0077595
260;0.1818555;0.0071615
261;0.183188;0.001113
262;0.183676;0.005352
263;0.1846135;0.0015415
264;0.1880205;0.0006935
265;0.190463;0.016555
266;0.2001355;0.0115355
267;0.2053985;0.0015715
268;0.205931;0.002386
269;0.2213935;0.0017485
270;0.221655;0.001309
271;0.221841;0.000968
272;0.222162;0.000969
273;0.222429;0.001673
274;0.2272635;0.0016195
275;0.229104;0.00295
276;0.2297005;0.0106365

