"##features#size#min";"##characteristics#gpu_only#center";"##characteristics#gpu_only#halfrange"
223;0.0249365;8.45e-05
224;0.0249505;6.75e-05
225;0.0268885;7.95e-05
226;0.0269265;9.05e-05
227;0.0270795;5.05e-05
228;0.0270995;0.0001565
229;0.027752;7e-05
230;0.0277625;6.65e-05
231;0.0318165;0.0001085
232;0.0318665;6.45e-05
233;0.035953;0.000199
234;0.0360105;5.95e-05
235;0.0369235;0.0001495
236;0.0369435;0.0001195
237;0.038421;0.000174
238;0.0384815;0.0001375
239;0.0407615;0.0001405
240;0.040845;0.000132
241;0.0423285;2.55e-05
242;0.0424195;9.65e-05
243;0.042946;0.000117
244;0.042973;0.000168
245;0.044222;4.2e-05
246;0.0443135;6.75e-05
247;0.045332;0.000166
248;0.045355;0.000137
249;0.0455015;0.0002245
250;0.0456175;0.0001805
251;0.045625;0.000115
252;0.0457695;0.0001155
253;0.0459245;0.0001015
254;0.045982;0.000108
255;0.046038;9.7e-05
256;0.046039;8.5e-05
257;0.046816;0.000101
258;0.046948;0.000151
259;0.0473235;7.55e-05
260;0.047434;3.5e-05
261;0.047474;7.3e-05
262;0.0474985;8.25e-05
263;0.0480725;0.0001145
264;0.0481165;0.0001995
265;0.0481305;7.25e-05
266;0.048144;0.000184
267;0.0490425;3.75e-05
268;0.049108;8.7e-05
269;0.0499605;7.75e-05
270;0.0499675;8.55e-05
271;0.053912;7e-05
272;0.053981;0.000212
273;0.054254;7.6e-05
274;0.0543125;0.0001885
275;0.0556055;0.0001675
276;0.0556105;0.0001785

