"##features#size#min";"##characteristics#cpu_div_by_gpu_copy#min"
1;0.118520004011
2;0.130337078652
3;0.130940728657
4;0.132707628506
5;0.139078971703
6;0.146639511202
7;0.15
8;0.151572284695
9;0.156004861341
10;0.16892240934
11;0.170355176509
12;0.177417600348
13;0.188359903909
14;0.188384512684
15;0.18890791727
16;0.190479192938
17;0.191614367739
18;0.191874648152
19;0.198734427526
20;0.20593514419
21;0.207760391971
22;0.207873407951
23;0.208900629953
24;0.209429280397
25;0.210828253854
26;0.214116634388
27;0.218222099142
28;0.220959101006
29;0.223953013279
30;0.224611381223
31;0.225083826782
32;0.231413151228
33;0.232637168142
34;0.232726298875
35;0.233135957274
36;0.243790908276
37;0.24767508066
38;0.247814327945
39;0.250063748406
40;0.250304599452
41;0.25315694528
42;0.258718677344
43;0.268076109937
44;0.268632156325
45;0.268904270602
46;0.276040511569
47;0.278885803248
48;0.279661016949
49;0.285494043448
50;0.287041645927
51;0.290106367478
52;0.292203389831
53;0.297630730408
54;0.302180685358
55;0.307890468467
56;0.312655666252
57;0.314470969643
58;0.330033676906
59;0.334652443221
60;0.354002452268
61;0.492744063325
62;0.541011619959
63;0.565478574289
64;0.56962936308
65;0.581196581197
66;0.617869127517
67;0.652752124123
68;0.66785856178
69;0.689680772086
70;0.689756097561
71;0.694800301432
72;0.711240310078
73;0.74203539823
74;0.744041944709
75;0.749238964992
76;0.749467405198
77;0.75566301858
78;0.761322463768
79;0.789820359281
80;0.790206433029
81;0.79501655719
82;0.818369987063
83;0.842134990116
84;0.867163252638
85;0.87413509061
86;0.884087591241
87;0.928025477707
88;0.946133796699
89;0.968846285519
90;0.975713220213
91;0.978802992519
92;0.995769606248
93;1.00032499188
94;1.05830948883
95;1.07607721269
96;1.08045016709
97;1.08350276609
98;1.09937141295
99;1.10197812079
100;1.11052072264
101;1.15820261152
102;1.17568659128
103;1.18097887438
104;1.18343775306
105;1.18547929665
106;1.21346379108
107;1.22039710193
108;1.24527073933
109;1.28784530387
110;1.28847941386
111;1.31144823429
112;1.34962113853
113;1.42010295876
114;1.4254518808
115;1.4572357049
116;1.46556642217
117;1.48190813495
118;1.48924188939
119;1.50529577059
120;1.50632043862
121;1.50815281607
122;1.52200486367
123;1.54557510388
124;1.57084989873
125;1.5723245786
126;1.58785708046
127;1.59163637035
128;1.59327364141
129;1.59435592244
130;1.59800338711
131;1.615350311
132;1.6165041146
133;1.64342883129
134;1.64614174499
135;1.6597693287
136;1.66129796305
137;1.66418716257
138;1.66877814723
139;1.67065217391
140;1.67501134473
141;1.67851136945
142;1.69482148457
143;1.69595251752
144;1.70000619118
145;1.72224818883
146;1.77156310509
147;1.77854685537
148;1.78121959131
149;1.80727423021
150;1.80905340229
151;1.8104969733
152;1.81074168798
153;1.83013851966
154;1.84418203702
155;1.84911985086
156;1.86908309212
157;1.87690075084
158;1.91678129298
159;1.93160752739
160;1.93622466159
161;1.94241535591
162;1.94291773438
163;1.94583565201
164;1.95118700541
165;1.98545192348
166;2.01289387903
167;2.08182034787
168;2.08764314048
169;2.09029228596
170;2.10628118099
171;2.16811877834
172;2.197550708
173;2.19795033504
174;2.21894081494
175;2.22596983358
176;2.27703225806
177;2.36650848339
178;2.3786240079
179;2.39733472694
180;2.41424838399
181;2.45515457858
182;2.4972092738
183;2.54540156195
184;2.57267247153
185;2.58161281363
186;2.60590453269
187;2.64393220339
188;2.68685499844
189;2.70397496978
190;2.71789330699
191;2.7508368078
192;2.75268984269
193;2.75718401994
194;2.75824978421
195;2.78481328215
196;2.79039690342
197;2.82356203713
198;2.83612111702
199;2.85095432125
200;2.85168621129
201;2.88977765727
202;2.89014413713
203;2.89271719306
204;2.89527088979
205;2.897633077
206;2.9122377233
207;2.92646853635
208;2.9492961692
209;2.99248120301
210;3.00597080938
211;3.0170916223
212;3.02301487971
213;3.0325903319
214;3.05204225352
215;3.05258486798
216;3.06745300405
217;3.11931894356
218;3.14503979837
219;3.15281179243
220;3.16480026742
221;3.18156011821
222;3.18617100372
223;3.20469213326
224;3.20570528102
225;3.21238571198
226;3.22089078036
227;3.23438532456
228;3.29898205695
229;3.30211708453
230;3.31396864862
231;3.31797181462
232;3.33207910396
233;3.34636348711
234;3.35679510776
235;3.36223770898
236;3.37044516325
237;3.38125990724
238;3.39711573903
239;3.44024429187
240;3.46171214636
241;3.47011076013
242;3.5005787037
243;3.57392935802
244;3.59097818496
245;3.62521245879
246;3.63306303737
247;3.68284232365
248;4.26614612381
249;4.30019079924
250;4.34486593352
251;4.57350192413
252;4.70786582858
253;4.7662237692
254;4.7864148202
255;4.82874037711
256;4.86480348412
257;4.89805416924
258;4.97540087464
259;5.04335329341
260;5.08741866148
261;5.19328760989
262;5.22084284505
263;5.32555780933
264;5.39516944866
265;5.47243726447
266;5.82659097541
267;5.84010582011
268;5.98951654826
269;6.04976138131
270;6.13341561939
271;6.17277183773
272;6.18876239442
273;6.61447624871
274;6.6281593815
275;6.83784307645
276;6.98988893754

