"##features#size#min";"##characteristics#cpu#center";"##characteristics#cpu#halfrange"
1;0.00055;1.8e-05
2;0.0005555;1.65e-05
3;0.000579;4.3e-05
4;0.0006075;3.15e-05
5;0.0006155;3.55e-05
6;0.000628;1.5e-05
7;0.000653;2.6e-05
8;0.0006565;5.35e-05
9;0.0006605;4.45e-05
10;0.0006615;2.05e-05
11;0.000667;3.1e-05
12;0.000669;2e-05
13;0.0006705;2.25e-05
14;0.0006735;4.15e-05
15;0.000676;2.6e-05
16;0.0006785;1.85e-05
17;0.0006815;2.55e-05
18;0.000686;6.4e-05
19;0.0006875;3.35e-05
20;0.000697;2.3e-05
21;0.000698;1.4e-05
22;0.000701;3.3e-05
23;0.000703;4.5e-05
24;0.000709;0.000117
25;0.000713;3.3e-05
26;0.000723;0.000104
27;0.0007255;2.35e-05
28;0.000738;6e-05
29;0.000744;7.3e-05
30;0.000772;6.4e-05
31;0.0007875;0.0001085
32;0.000805;2.9e-05
33;0.00081;2.2e-05
34;0.0008235;2.45e-05
35;0.0008255;5.75e-05
36;0.0008295;2.55e-05
37;0.000835;3e-05
38;0.000854;6.5e-05
39;0.0008705;6.65e-05
40;0.000955;6.8e-05
41;0.00096;5.5e-05
42;0.000967;4.3e-05
43;0.000995;0.000201
44;0.00106;2e-05
45;0.001083;5.5e-05
46;0.0010885;3.55e-05
47;0.001093;5.1e-05
48;0.001096;0.000318
49;0.0011175;0.0001515
50;0.001126;3.4e-05
51;0.001129;0.000478
52;0.0011315;0.0004685
53;0.001133;3e-05
54;0.0011355;3.45e-05
55;0.0011375;0.0002115
56;0.0011545;0.0001325
57;0.001168;3.3e-05
58;0.0011735;1.85e-05
59;0.001178;4.7e-05
60;0.0011805;0.0004705
61;0.0011825;1.45e-05
62;0.001184;2.6e-05
63;0.0011895;4.75e-05
64;0.0011895;5.65e-05
65;0.0011915;9.05e-05
66;0.0012135;3.75e-05
67;0.0012195;4.45e-05
68;0.001228;0.0001
69;0.0012295;1.15e-05
70;0.0012655;3.95e-05
71;0.0013185;0.0001405
72;0.001325;0.000188
73;0.001331;0.000165
74;0.0013395;0.0002095
75;0.001375;1.8e-05
76;0.0013855;0.0002625
77;0.0013925;0.0002365
78;0.0013935;0.0002135
79;0.0014025;5.05e-05
80;0.00141;5e-05
81;0.0014175;0.0002735
82;0.0014195;0.0002015
83;0.001421;0.000873
84;0.001437;0.00015
85;0.0014715;3.65e-05
86;0.0014935;0.0001665
87;0.001509;0.000162
88;0.001593;3.9e-05
89;0.001596;0.000104
90;0.0015995;0.0009525
91;0.0016005;0.0001695
92;0.001622;8.5e-05
93;0.001628;4e-05
94;0.001634;0.000233
95;0.001637;0.000246
96;0.0016545;2.55e-05
97;0.0016675;4.55e-05
98;0.001672;0.000274
99;0.0016775;0.0003435
100;0.001699;9.1e-05
101;0.001702;4.1e-05
102;0.0017135;0.0002325
103;0.001717;6.9e-05
104;0.001722;0.00036
105;0.001753;8.6e-05
106;0.001759;5.2e-05
107;0.001765;0.000148
108;0.0017675;2.75e-05
109;0.001771;0.000172
110;0.00178;0.000385
111;0.001847;0.000112
112;0.001848;0.00023
113;0.001857;0.000394
114;0.001873;0.000304
115;0.00191;0.000747
116;0.001925;0.000235
117;0.0019625;0.0007975
118;0.001963;0.000205
119;0.0019655;0.0007725
120;0.002008;0.00034
121;0.0020745;8.35e-05
122;0.0020945;9.15e-05
123;0.002148;0.000116
124;0.0021495;0.0001295
125;0.002196;0.000174
126;0.0022295;0.0001875
127;0.002231;0.001254
128;0.0022885;0.0002295
129;0.0023045;0.0013135
130;0.002324;3.6e-05
131;0.0023295;0.0007035
132;0.0023515;0.0002045
133;0.002377;5.3e-05
134;0.0024235;0.0003115
135;0.0024925;0.0011535
136;0.002517;0.000216
137;0.0025665;0.0005235
138;0.002574;0.000531
139;0.002575;0.000546
140;0.0026235;0.0001675
141;0.002683;0.001113
142;0.00269;0.000206
143;0.0027175;0.0010255
144;0.002737;0.000182
145;0.0027405;0.0006755
146;0.00275;0.000357
147;0.002766;0.001074
148;0.002831;0.000284
149;0.00285;0.000335
150;0.002858;0.000198
151;0.002868;0.000325
152;0.0028735;0.0001275
153;0.0028825;0.0001425
154;0.0029415;0.0013765
155;0.002974;0.000145
156;0.0029845;0.0001765
157;0.0029995;0.0001725
158;0.0030835;7.95e-05
159;0.0031;0.000934
160;0.0031185;0.0003675
161;0.0031205;0.0001255
162;0.003121;2.8e-05
163;0.003193;7.1e-05
164;0.003232;0.000172
165;0.003233;0.000117
166;0.0032955;0.0001585
167;0.0032995;0.0002695
168;0.0033055;9.05e-05
169;0.003327;0.000206
170;0.00333;7e-05
171;0.0033335;0.0001545
172;0.003348;2.6e-05
173;0.0033565;0.0001935
174;0.0033565;7.35e-05
175;0.0033755;0.0010055
176;0.0033945;0.0003085
177;0.003397;0.000174
178;0.003403;0.000181
179;0.003442;0.000334
180;0.003501;0.000471
181;0.0035105;0.0001875
182;0.003533;0.00034
183;0.003537;0.00015
184;0.0035385;0.0001085
185;0.003549;0.000237
186;0.0035715;0.0003365
187;0.003573;0.000355
188;0.00361;0.000586
189;0.003639;0.000331
190;0.003656;0.000164
191;0.003657;0.000693
192;0.003657;0.000554
193;0.0036755;0.0005495
194;0.0037055;0.0005205
195;0.0037065;0.0001245
196;0.0037505;0.0008655
197;0.0037705;0.0001575
198;0.0038585;0.0005485
199;0.0038625;0.0005385
200;0.003872;0.000686
201;0.003882;0.000665
202;0.0039075;4.85e-05
203;0.0039155;0.0002365
204;0.0039465;0.0007675
