"##features#size#min";"##characteristics#gpu_only#center";"##characteristics#gpu_only#halfrange"
285;0.0041195;1.25e-05
286;0.004123;1.7e-05
287;0.00417;5e-06
288;0.0041735;1.85e-05
289;0.004226;1.6e-05
290;0.004229;3.4e-05
291;0.0042745;1.85e-05
292;0.004299;2.8e-05
293;0.004306;8e-06
294;0.004314;8e-06
295;0.0043235;8.5e-06
296;0.0043295;1.75e-05
297;0.004339;3.9e-05
298;0.0043565;4.15e-05
299;0.004368;2.9e-05
300;0.004369;2.3e-05
301;0.0043785;9.5e-06
302;0.0043815;2.05e-05
303;0.0044525;1.65e-05
304;0.0044555;2.05e-05
305;0.0044895;1.95e-05
306;0.00449;1.1e-05
307;0.0045555;2.05e-05
308;0.00456;1.1e-05
309;0.004569;1.1e-05
310;0.0045715;1.85e-05
311;0.0046345;3.35e-05
312;0.0046465;2.45e-05
313;0.0047165;2.45e-05
314;0.004742;2.7e-05
315;0.004859;8e-06
316;0.0048645;1.65e-05
317;0.0051245;2.5e-06
318;0.0051475;2.75e-05
319;0.00515;3.1e-05
320;0.0051555;3.65e-05
321;0.0053205;3.05e-05
322;0.0053205;2.05e-05
323;0.0055735;2.35e-05
324;0.005601;2.9e-05
325;0.0059855;3.25e-05
326;0.0059945;1.75e-05
327;0.006083;2.7e-05
328;0.006091;4.4e-05
329;0.0061305;1.25e-05
330;0.006132;3.6e-05
331;0.0067565;4.85e-05
332;0.0067785;1.65e-05
333;0.007001;2.8e-05
334;0.007022;3e-05
335;0.0070585;1.95e-05
336;0.0070755;1.05e-05
337;0.007257;1.6e-05
338;0.007261;1.6e-05
339;0.007263;4.1e-05
340;0.0072875;2.75e-05
341;0.0073945;3.55e-05
342;0.007404;1.8e-05
343;0.0075385;4.45e-05
344;0.0075445;2.15e-05
345;0.007613;5.8e-05
346;0.007625;5.4e-05
347;0.007645;1.9e-05
348;0.0076485;4.45e-05
349;0.007719;2.7e-05
350;0.0077345;2.95e-05
351;0.007741;3.9e-05
352;0.0077515;3.65e-05
353;0.007764;2e-05
354;0.007766;2.4e-05
355;0.0078805;2.75e-05
356;0.0078935;3.35e-05
357;0.0079905;6.95e-05
358;0.0080185;7.25e-05
359;0.00823;4e-05
360;0.0082365;6.85e-05
361;0.0086005;2.85e-05
362;0.008601;1.1e-05
363;0.009136;4.1e-05
364;0.009139;2.3e-05
365;0.00914;1.4e-05
366;0.0091505;3.85e-05
367;0.009434;4.3e-05
368;0.009455;7.7e-05
369;0.011091;1.5e-05
370;0.0110955;2.35e-05
371;0.012013;3.4e-05
372;0.0120175;2.95e-05
373;0.01213;2.7e-05
374;0.0121675;4.75e-05
375;0.0122185;2.45e-05
376;0.012226;1.1e-05
377;0.013532;4.1e-05
378;0.013542;3.7e-05
379;0.01412;3.4e-05
380;0.0141205;2.75e-05
381;0.0142035;2.55e-05
382;0.0142045;2.05e-05
383;0.014805;4.4e-05
384;0.014805;3.8e-05
385;0.0149095;3.25e-05
386;0.0149105;2.15e-05
387;0.0149865;2.55e-05
388;0.015013;2.1e-05
389;0.015244;1.1e-05
390;0.0152625;4.65e-05
391;0.015377;2.5e-05
392;0.015418;2.2e-05
393;0.0154615;2.35e-05
394;0.0154755;3.15e-05
395;0.0155085;3.35e-05
396;0.0155295;2.85e-05
397;0.0155325;4.45e-05
398;0.015553;1.4e-05
399;0.0155755;3.55e-05
400;0.0155785;3.75e-05
401;0.0157775;3.35e-05
402;0.015791;3.9e-05
403;0.0164585;4.05e-05
404;0.0164895;2.85e-05
405;0.0166895;9.15e-05
406;0.016732;1.6e-05
407;0.017183;1.4e-05
408;0.0171925;2.55e-05
409;0.0182645;4.75e-05
410;0.0182665;5.55e-05
411;0.018304;3.7e-05
412;0.01831;4.4e-05
413;0.0187495;6.05e-05
414;0.0187805;5.95e-05
415;0.0221645;4.05e-05
416;0.0221845;6.95e-05
417;0.0240135;3.25e-05
418;0.0240675;6.05e-05
419;0.02428;3.8e-05
420;0.024303;4.1e-05
421;0.024417;5.9e-05
422;0.02442;3.2e-05
423;0.02703;9.8e-05
424;0.027039;0.000115
425;0.0282085;4.45e-05
426;0.028226;5.3e-05
427;0.0283525;3.95e-05
428;0.028366;3.2e-05
429;0.029586;3.4e-05
430;0.0296175;4.85e-05
431;0.0297495;4.35e-05
432;0.0298155;4.55e-05
433;0.029961;8.7e-05
434;0.0300015;5.25e-05
435;0.030456;7.6e-05
436;0.03047;0.000131
437;0.0307875;8.25e-05
438;0.030816;8.9e-05
439;0.030883;7.3e-05
440;0.0309445;4.05e-05
441;0.0309725;8.05e-05
442;0.0309775;6.55e-05
443;0.031072;7.4e-05
444;0.031111;3.8e-05
445;0.031142;4.9e-05
446;0.0311565;5.45e-05
447;0.0315415;2.45e-05
448;0.0315495;1.05e-05
449;0.032883;7e-05
450;0.0329465;0.0001035
451;0.033359;9.5e-05
452;0.0334395;5.75e-05
453;0.034316;5.4e-05
454;0.034329;3.2e-05
455;0.0364615;4.95e-05
456;0.0364655;7.15e-05
457;0.0365405;6.55e-05
458;0.03661;4.2e-05
459;0.0375035;4.25e-05
460;0.0375385;0.0001105

