"##features#size#min";"##characteristics#gpu_only#center";"##characteristics#gpu_only#halfrange"
1;0.0001885;2.5e-06
2;0.000189;1e-06
3;0.0002055;6.5e-06
4;0.0002075;3.5e-06
5;0.000209;3e-06
6;0.0002105;5.5e-06
7;0.000215;4e-06
8;0.0002155;4.5e-06
9;0.0002245;3.5e-06
10;0.0002275;2.5e-06
11;0.0002375;7.5e-06
12;0.0002395;4.5e-06
13;0.000242;4e-06
14;0.0002445;3.5e-06
15;0.000245;6e-06
16;0.000246;4e-06
17;0.000246;4e-06
18;0.000248;3e-06
19;0.0002485;5.5e-06
20;0.0002485;5.5e-06
21;0.0002525;2.5e-06
22;0.000254;6e-06
23;0.000254;6e-06
24;0.000254;5e-06
25;0.000258;4e-06
26;0.000259;2e-06
27;0.000261;4e-06
28;0.000262;3e-06
29;0.0002635;5.5e-06
30;0.000264;6e-06
31;0.000265;5e-06
32;0.0002655;2.5e-06
33;0.000266;4e-06
34;0.0002675;4.5e-06
35;0.0002685;5.5e-06
36;0.00027;3e-06
37;0.0002785;2.5e-06
38;0.000279;3e-06
39;0.0002925;1.5e-06
40;0.000293;4e-06
41;0.000299;5e-06
42;0.000299;6e-06
43;0.0003;5e-06
44;0.000304;6e-06
45;0.0003145;5.5e-06
46;0.0003205;8.5e-06
47;0.0003705;1.5e-06
48;0.0003705;4.5e-06
49;0.0004095;7.5e-06
50;0.00041;8e-06
51;0.0004105;9.5e-06
52;0.000413;1e-05
53;0.0004235;9.5e-06
54;0.000425;5e-06
55;0.000445;1e-05
56;0.000448;4e-06
57;0.000473;1.1e-05
58;0.000474;3e-06
59;0.0004755;5.5e-06
60;0.0004825;3.5e-06
61;0.000483;6e-06
62;0.000484;8e-06
63;0.000486;4e-06
64;0.0004865;7.5e-06
65;0.0004875;6.5e-06
66;0.000488;1.8e-05
67;0.000491;9e-06
68;0.0004925;7.5e-06
69;0.0004995;9.5e-06
70;0.0005015;6.5e-06
71;0.0005065;7.5e-06
72;0.0005105;9.5e-06
73;0.000511;4e-06
74;0.000512;9e-06
75;0.0005145;1.45e-05
76;0.000518;8e-06
77;0.0005225;6.5e-06
78;0.000527;1.1e-05
79;0.0005275;7.5e-06
80;0.0005295;7.5e-06
81;0.0005305;1.45e-05
82;0.000536;6e-06
83;0.0005455;1.45e-05
84;0.0005465;9.5e-06
85;0.0005755;9.5e-06
86;0.000579;1.4e-05
87;0.000594;8e-06
88;0.0005945;8.5e-06
89;0.0005975;1.05e-05
90;0.0006055;1.25e-05
91;0.0006295;8.5e-06
92;0.000633;1e-05
93;0.000718;3e-06
94;0.0007215;1.5e-06
95;0.0007615;1.45e-05
96;0.000773;1.6e-05
97;0.0007785;7.5e-06
98;0.0007805;7.5e-06
99;0.0007895;2.5e-06
100;0.000794;1.2e-05
101;0.000847;7e-06
102;0.0008475;7.5e-06
103;0.000892;5e-06
104;0.0008935;3.5e-06
105;0.000902;4e-06
106;0.0009065;7.5e-06
107;0.000909;6e-06
108;0.0009175;9.5e-06
109;0.00092;6e-06
110;0.0009215;6.5e-06
111;0.000931;9e-06
112;0.000939;5e-06
113;0.0009415;5.5e-06
114;0.0009435;7.5e-06
115;0.00096;9e-06
116;0.000961;1.3e-05
117;0.000969;9e-06
118;0.000976;1.3e-05
119;0.000978;1.2e-05
120;0.000979;3e-06
121;0.0009805;1.15e-05
122;0.000984;8e-06
123;0.0009845;4.5e-06
124;0.000985;5e-06
125;0.000997;8e-06
126;0.000997;1e-05
127;0.001001;9e-06
128;0.001009;3e-06
129;0.0010425;6.5e-06
130;0.001043;5e-06
131;0.001095;6e-06
132;0.001097;7e-06
133;0.0011475;8.5e-06
134;0.0011505;3.5e-06
135;0.001153;1.4e-05
136;0.0011545;1.45e-05
137;0.0012035;7.5e-06
138;0.001205;9e-06
139;0.001423;1.1e-05
140;0.0014285;7.5e-06
141;0.0015175;1.45e-05
142;0.001519;1.6e-05
143;0.001544;1.1e-05
144;0.001557;1.3e-05
145;0.0015765;1.25e-05
146;0.001582;2.6e-05
147;0.001585;1e-05
148;0.001589;9e-06
149;0.001668;3.8e-05
150;0.0016785;2.55e-05
151;0.0016955;9.5e-06
152;0.001699;1.1e-05
153;0.0017245;8.5e-06
154;0.0017265;8.5e-06
155;0.00173;1e-05
156;0.0017365;1.35e-05
157;0.00177;8e-06
158;0.0017775;1.75e-05
159;0.0017995;1.65e-05
160;0.001805;8e-06
161;0.001809;1.5e-05
162;0.00181;1.3e-05
163;0.001829;1.9e-05
164;0.001829;1.4e-05
165;0.0018545;7.5e-06
166;0.0018615;1.25e-05
167;0.0018815;1.45e-05
168;0.001882;1.6e-05
169;0.001889;5e-06
170;0.001892;1.5e-05
171;0.001895;1e-05
172;0.0019115;1.95e-05
173;0.0019395;1.85e-05
174;0.001945;1.2e-05
175;0.001949;1.9e-05
176;0.0019495;2.15e-05
177;0.0019585;8.5e-06
178;0.0019675;2.35e-05
179;0.00197;7e-06
180;0.0019725;9.5e-06
181;0.001989;1.2e-05
182;0.001994;1.3e-05
183;0.0019955;2.15e-05
184;0.001996;1.3e-05
185;0.0019985;7.5e-06
186;0.002001;1.3e-05
187;0.002001;7e-06
188;0.0020015;9.5e-06
189;0.0020355;3.5e-06
190;0.0020395;1.65e-05
191;0.002048;8e-06
192;0.002051;9e-06
193;0.0020745;1.55e-05
194;0.00208;2.3e-05
195;0.0020865;1.35e-05
196;0.0020875;8.5e-06
197;0.0021175;1.15e-05
198;0.002126;9e-06
199;0.002144;1.1e-05
200;0.0021565;1.15e-05
201;0.002167;1.1e-05
202;0.0021695;1.95e-05
203;0.002172;1.1e-05
204;0.0021765;1.05e-05
205;0.0021765;1.85e-05
206;0.0021835;1.95e-05
207;0.0021895;1.25e-05
208;0.0021905;6.5e-06
209;0.0021915;1.25e-05
210;0.002192;7e-06
211;0.00223;9e-06
212;0.002232;9e-06
213;0.002239;1.1e-05
214;0.0022435;1.15e-05
215;0.0022865;2.35e-05
216;0.0022875;1.85e-05
217;0.002295;1.7e-05
218;0.0022985;1.65e-05
219;0.002325;1.4e-05
220;0.0023295;6.5e-06
221;0.0023715;4.35e-05
222;0.0024015;2.35e-05
223;0.002441;1.7e-05
224;0.002443;1.4e-05
225;0.002567;1.3e-05
226;0.0025705;1.15e-05
227;0.0025765;1.55e-05
228;0.0025815;1.35e-05
229;0.0026605;1.95e-05
230;0.0026675;1.35e-05
231;0.0028025;1.5e-06
232;0.00281;7e-06
233;0.003;8e-06
234;0.0030015;2.05e-05
235;0.0030365;2.65e-05
236;0.0030415;1.55e-05
237;0.0030605;1.35e-05
238;0.0030675;1.25e-05
239;0.003159;4e-06
240;0.0031695;1.45e-05
241;0.003372;1.9e-05
242;0.00338;2.4e-05
243;0.0033835;2.95e-05
244;0.0033905;3.55e-05
245;0.003444;1.3e-05
246;0.003453;1.9e-05
247;0.0034615;1.05e-05
248;0.003466;1.4e-05
249;0.0035135;8.5e-06
250;0.0035215;2.05e-05
251;0.0035305;9.5e-06
252;0.003535;1.6e-05
253;0.0036305;9.5e-06
254;0.003632;1.2e-05
255;0.00364;8e-06
256;0.003644;1.4e-05
257;0.003701;1.5e-05
258;0.003711;1.3e-05
259;0.0037795;6.5e-06
260;0.0037805;1.55e-05
261;0.0037825;2.55e-05
262;0.003785;1.5e-05
263;0.00381;1.6e-05
264;0.0038265;2.25e-05
265;0.003829;3.6e-05
266;0.003834;1.1e-05
267;0.003868;3.7e-05
268;0.003879;2.5e-05
269;0.003881;6e-06
270;0.003886;9e-06
271;0.0038865;6.5e-06
272;0.0038875;1.25e-05
273;0.0039545;5.5e-06
274;0.003955;4.1e-05
275;0.003956;1.3e-05
276;0.003973;2.7e-05
277;0.003989;1e-05
278;0.003993;9e-06
279;0.00401;2.7e-05
280;0.004014;2.6e-05
281;0.0040555;1.95e-05
282;0.004059;2.2e-05
283;0.0040855;3.45e-05
284;0.004092;3e-05
